group,subgroup,date,title,lecture,lab,notes
Intro to Big Data and the Cloud,Phase 1,2023-01-11,Course overview,[Lecture 1](/slides/01-slides.html),[Lab 1](/labs/01-labs.html),"Course overview. Introduction to big data concepts. The Cloud."
Intro to Big Data and the Cloud,Phase 1,2023-01-18,Cloud services,[Lecture 2](/slides/02-slides.html),[Lab 2](/labs/02-labs.html),"setting up your AWS account."
Intro to Big Data and the Cloud,Phase 1,2023-01-25,Parallelization,[Lecture 3](/slides/03-slides.html),[Lab 3](/labs/03-labs.html),"Explore parallelization with [Python multiprocessing](https://docs.python.org/3/library/multiprocessing.html). ***Virtual class, will provide zoom link.***"
Intro to Big Data and the Cloud,Phase 1,2023-02-01,"[MapReduce & Hadoop](https://hadoop.apache.org/docs/r1.2.1/mapred_tutorial.html)",[Lecture 4](/slides/04-slides.html),[Lab 4](/labs/04-labs.html),"Working with Big Data with Hadoop."
Intro to Big Data and the Cloud,Phase 1,2023-02-08,"Parallel computing with [Dask](https://www.dask.org/)",[Lecture 5](/slides/05-slides.html),[Lab 5](/labs/05-labs.html),"Using [Dask](https://www.dask.org/) to analyze large datasets."
Apache Spark Ecosystem,Phase 2,2023-02-15,Intro to [Apache Spark](https://spark.apache.org/) - [Spark RDD](https://spark.apache.org/docs/latest/rdd-programming-guide.html),[Lecture 6](/slides/06-slides.html),[Lab 6](/labs/06-labs.html),"Setting up [Apache Spark](https://spark.apache.org/) on Amazon SageMaker & EMR. Analyze datasets using Spark [Resilient Distributed Datasets (RDD)](https://spark.apache.org/docs/latest/rdd-programming-guide.html)."
Apache Spark Ecosystem,Phase 2,2023-02-22,[Spark SQL](https://spark.apache.org/sql/) & [Spark Dataframes](https://spark.apache.org/docs/latest/sql-programming-guide.html),[Lecture 7](/slides/07-slides.html),[Lab 7](/labs/07-labs.html),"Structured data processing with [Spark SQL](https://spark.apache.org/sql/) and the [Spark DataFrame API](https://spark.apache.org/docs/latest/sql-programming-guide.html)."
,Phase 2,2023-03-07,NO CLASS - Spring Break,,,
Apache Spark Ecosystem,Phase 2,2023-03-14,[Spark ML](https://spark.apache.org/docs/latest/ml-guide.html),[Lecture 8](/slides/08-slides.html),[Lab 8](/labs/08-labs.html),"Scaling machine learning with Spark."
Apache Spark Ecosystem,Phase 2,2023-03-21,"[Spark NLP](https://nlp.johnsnowlabs.com/)",[Lecture 9](/slides/09-slides.html),[Lab 9](/labs/09-labs.html),"Natural Language Propcessing Using Spark."
,Phase 3,2023-03-28,NO CLASS - Easter Break,,,
Other Big Data technologies & misc. topics,Phase 3,2023-04-04,Serverless & DevOps,[Lecture 11](/slides/11-slides.html),[Lab 11](/labs/11-labs.html),"Lambda, CI/CD and DevOps"
Apache Spark Ecosystem,Phase 2,2023-04-11,"[Spark Streaming](https://spark.apache.org/docs/latest/streaming-programming-guide.html)",[Lecture 10](/slides/10-slides.html),[Lab 10](/labs/10-labs.html),"Analyzing streaming data with Spark."
Other Big Data technologies & misc. topics,Phase 3,2023-04-18,"Data Engineering",[Lecture 12](/slides/12-slides.html),,"Data engineering: data pipelines, data lakes, data ware houses and more."
Other Big Data technologies & misc. topics,Phase 3,2023-04-25,"[Ray](https://www.ray.io/), [RAPIDS](https://rapids.ai/) & [DuckDB](https://duckdb.org/)",[Lecture 13](/slides/13-slides.html),[Lab 13](/labs/13-labs.html),"Scaling applications and ML libraries with [Ray](https://www.ray.io/). Using GPUs for data science with [RAPIDS](https://rapids.ai/) and in-memory analytics with [DuckDB](https://duckdb.org/)."
Other Big Data technologies & misc. topics,Phase 3,2023-05-02,Project discussion & Open Session,[Lecture 14](/slides/14-slides.html),,"***Last class for the semester***"
